3.5	12.5
2.0	12.5
10.5	20.0
1.5	1.5
15.0	20.0
2.0	1.5
4.5	4.5
9.5	12.5
5.5	12.5
7.5	12.5
11.5	20.0
3.5	1.5
9.5	12.5
3.5	1.5
7.5	20.0
3.5	4.5
8.5	12.5
6.5	12.5
7.5	12.5
2.5	1.5
3.5	8.0
4.0	12.5
11.5	37.5
10.0	12.5
10.5	37.5
0.5	1.5
3.0	1.5
8.5	20.0
21.5	37.5
0.5	1.5
3.5	20.0
5.0	12.5
4.0	4.5
5.0	12.5
4.0	8.0
9.0	20.0
4.0	20.0
4.0	8.0
4.5	12.5
2.0	1.5
6.5	20.0
16.5	20.0
3.5	12.5
8.5	12.5
1.5	8.0
3.5	8.0
2.5	1.5
13.5	20.0
6.5	8.0
3.5	4.5
0.5	1.5
3.0	12.5
7.5	20.0
6.5	8.0
8.5	12.5
6.5	8.0
3.5	12.5
15.0	12.5
12.5	8.0
2.5	1.5
4.0	12.5
2.5	1.5
7.5	20.0
8.0	12.5
7.0	12.5
6.0	8.0
9.5	12.5
4.0	8.0
13.0	8.0
3.5	1.5
7.5	12.5
9.5	20.0
7.0	20.0
12.5	20.0
7.5	8.0
4.0	4.5
7.5	12.5
7.5	4.5
6.5	12.5
14.0	20.0
0.0	1.5
11.0	12.5
4.5	1.5
2.5	4.5
3.0	1.5
3.5	20.0
4.5	20.0
7.5	20.0
7.5	8.0
5.0	12.5
1.0	1.5
4.0	8.0
7.5	20.0
9.5	8.0
2.0	4.5
1.5	4.5
0.5	1.5
4.0	8.0
16.0	37.5
7.5	37.5
4.5	4.5
6.5	12.5
0.5	4.5
2.5	4.5
9.5	8.0
5.5	12.5
3.5	8.0
7.5	1.5
2.0	4.5
1.0	1.5
10.0	20.0
2.5	1.5
3.5	20.0
7.5	12.5
6.5	12.5
2.5	12.5
9.5	20.0
6.5	20.0
5.5	12.5
1.5	1.5
19.0	8.0
5.5	20.0
10.5	12.5
0.0	4.5
9.5	37.5
12.5	12.5
7.5	12.5
8.5	20.0
2.0	1.5
5.5	20.0
8.5	12.5
4.5	12.5
10.5	20.0
4.0	1.5
2.5	1.5
2.5	1.5
0.5	1.5
7.5	8.0
1.0	1.5
12.5	37.5
2.5	4.5
7.5	20.0
